AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclClassMethod,CountDeclClassVariable,CountDeclExecutableUnit,CountDeclFile,CountDeclFunction,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclInstanceVariablePrivate,CountDeclInstanceVariableProtected,CountDeclInstanceVariablePublic,CountDeclMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodProtected,CountDeclMethodPublic,CountLine,CountLine_Html,CountLine_Javascript,CountLine_Php,CountLineBlank,CountLineBlank_Html,CountLineBlank_Javascript,CountLineBlank_Php,CountLineCode,CountLineCode_Javascript,CountLineCode_Php,CountLineComment,CountLineComment_Html,CountLineComment_Javascript,CountLineComment_Php,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtDecl_Javascript,CountStmtDecl_Php,CountStmtExe,CountStmtExe_Javascript,CountStmtExe_Php,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxEssential,MaxInheritanceTree,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,version
1,1,1,1,79,13,44,21,2682,43,146,17332,3081,14612,11440,1982,1520,430,32,11483,16153,713,427,10343,245743,495,2221,229267,40702,51,343,37477,137350,1651,126722,67233,3,227,65091,36744,1,70969,32844,246,32598,38274,796,37478,19209,19171,19539,17528,15,15,10,4,6,0.49,19934,19890,20278,18151,v1.0.12
1,1,1,1,79,13,44,21,2682,43,144,17328,3081,14608,11003,1875,1413,430,32,11046,15633,679,396,9971,245693,495,2221,229217,40699,51,343,37474,137318,1651,126690,67218,3,227,65076,36247,1,70963,32839,246,32593,38273,796,37477,18705,18671,19040,17077,15,15,10,4,6,0.49,19930,19886,20274,18147,v1.0.13
1,1,1,1,79,13,44,21,2683,55,149,17332,3082,14611,11373,1984,1522,430,32,11428,16086,734,431,10263,245751,495,2221,229275,40712,51,343,37487,137355,1651,126727,67226,3,227,65084,36745,1,70986,32849,246,32603,38286,796,37490,19190,19150,19516,17489,15,15,10,4,6,0.49,19938,19894,20282,18150,v1.0.14
1,1,1,1,79,13,44,21,2683,53,146,17335,3082,14614,11423,1993,1531,430,32,11476,15988,727,422,10327,245832,495,2281,229296,40722,51,349,37491,137418,1705,126736,67234,3,227,65092,36756,1,71006,32855,252,32603,38304,808,37496,19212,19174,19541,17512,15,15,10,4,6,0.49,19945,19901,20289,18157,v1.0.15
1,1,1,1,79,13,44,21,2683,44,147,17335,3082,14614,11447,1986,1524,430,32,11491,16027,710,428,10353,245829,495,2281,229299,40722,51,349,37491,137415,1705,126739,67234,3,227,65092,36761,1,71006,32855,252,32603,38304,808,37496,19209,19169,19543,17513,15,15,10,4,6,0.49,19945,19901,20289,18157,v1.0.16
1,1,1,1,79,13,44,21,2683,44,147,17335,3082,14614,11351,1993,1524,437,32,11395,15897,705,422,10268,245833,495,2281,229303,40723,51,349,37492,137418,1705,126742,67234,3,227,65092,36676,1,71008,32855,252,32603,38306,808,37498,19106,19068,19439,17420,15,15,10,4,6,0.49,19946,19902,20291,18158,v1.0.17
1,1,1,1,79,13,44,21,2682,53,187,17330,3081,14610,11155,1955,1493,430,32,11208,15714,730,414,10064,245764,495,2281,229233,40714,51,349,37483,137368,1705,126691,67224,3,227,65082,36492,1,70999,32841,252,32589,38311,808,37503,18929,18891,19265,17245,15,15,10,4,6,0.49,19941,19897,20286,18153,v1.0.18
1,1,1,1,79,13,44,21,2681,43,145,17331,3081,14611,11240,1925,1467,426,32,11283,15714,687,389,10207,245635,495,2213,229167,40676,51,339,37455,137265,1647,126641,67236,3,227,65094,36417,1,70891,32785,247,32538,38254,792,37462,18893,18859,19227,17273,15,15,10,4,6,0.49,19937,19893,20281,18149,v1.0.2
1,1,1,1,79,13,44,21,2681,44,153,17331,3081,14611,11379,1983,1525,426,32,11423,16085,704,420,10299,245635,495,2213,229167,40676,51,339,37455,137265,1647,126641,67236,3,227,65094,36656,1,70891,32785,247,32538,38254,792,37462,19127,19089,19458,17465,15,15,10,4,6,0.49,19937,19893,20281,18149,v1.0.3
1,1,1,1,79,13,44,21,2681,53,152,17332,3081,14612,11382,1987,1526,429,32,11435,16089,722,425,10288,245641,495,2213,229173,40677,51,339,37456,137270,1647,126646,67236,3,227,65094,36721,1,70894,32787,247,32540,38255,792,37463,19177,19139,19506,17485,15,15,10,4,6,0.49,19938,19894,20282,18150,v1.0.4
